authors,title,year,tags
"H. Garsden, L. Greenhill, G. Bernardi, A. Fialkov, D.C. Price, D. Mitchell, J. Dowell, M. Spinelli, F.K. Schinzel","A 21-cm power spectrum at 48 MHz, using the Owens Valley Long Wavelength Array",2021,"21cm, interferometry, below_50MHz"
"Brian Hicks, Nagini Paravastu-Dalal, Kenneth Stuart, William Erickson","A Wide-Band, Active Antenna System for Long Wavelength Radio Astronomy",2012,"LWA, antenna, instrumentation, interferometry"
"Paul LaPlante, Hy Trac",Helium Reionization Simulations I. Modeling Quasars as Radiation Sources,2016,"helium, reionization, quasars"
"R.H. Tillman, Steven Ellingston",Design and Evaluation of a HELA–10 Based FEE with 3–State Switched Calibration,2015,"LWA, calibration, instrumentation"
"Paul LaPlante, Hy Trac, Rupert Croft, Renyue Cen",Helium Reionization Simulations. II. Signatures of Quasar Activity on the IGM,2017,"helium, reionization, quasars"
"Paul LaPlante, Hy Trac, Rupert Croft, Renyue Cen",Helium Reionization Simulations. III. The Helium Lyα Forest,2018,"helium, reionization, quasars"
Paul Ray,Collected LWA Engineering Memos from the Development of the Antenna Subsystem (ANT),2009,"LWA, antenna, instrumentation"
"Frederick Davies, Steven Furlanetto",The effect of fluctuations on the helium-ionizing background,2014,"helium, reionization"
"Keri Dixon, Steven Furlanetto, Andrei Mesinger",Semi-numeric simulations of helium reionization and the fluctuating radiation background,2014,"helium, reionization"
"Yanping Cong, Bin Yue, Yidong Xu, Qizhi Huang, Shifan Zuo, Xuelei Chen",An Ultralong-wavelength Sky Model with Absorption Effect,2021,"galactic, foregrounds, below_50MHz, self_absroption"
Brian Hicks,LWA FEE memos,2009,"LWA, instrumentation"
"Andrei Mesinger, Matthew McQuinn, David Spergel",The kinetic Sunyaev–Zel’dovich signal from inhomogeneous reionization: a parameter space study,2012,"SZE, reionization"
"Vinicius Miranda, Adam Lidz, Chen Heinrich, Wayne Hu",CMB signatures of metal-free star formation and Planck 2015 polarization data,2017,"CMB, star_formation, reionization"
"James Novaco, Larry Brown",Nonthermal Galactic Emission Below 10 Megahertz,1978,"galactic, foregrounds, below_50MHz"
"Hyunbae Park, Paul Shapiro, Eiichiro Komatsu, Ilian Iliev, Kyungjin Ahn, Garrelt Mellema",The kinetic Sunyaev-Zel’dovich as a probe of the physics of cosmic reionization: the effect of self-regulated reionization,2013,"reionization, SZE, star_formation"
Hy Trac,"Parametrizing the Reionization History with the Redshift Midpoint, Duration, and Asymmetry",2018,reionization
"Xiaohan Wu, Matthew McQuinn, Daniel Eisenstein, Vid Irsic",The high-redshift tail of stellar reionization in LCDM is beyond the reach of the low-` CMB,2021,"CMB, reionization, star_formation"
